timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1543217976366,6058,,200,HTTP/1.1 200, 1-138,text,true,,132,0,9911,9911,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976365,6059,,200,HTTP/1.1 200, 1-134,text,true,,132,0,9911,9911,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976365,6059,,200,HTTP/1.1 200, 1-128,text,true,,132,0,9910,9910,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976365,6059,,200,HTTP/1.1 200, 1-130,text,true,,132,0,9909,9909,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976366,6058,,200,HTTP/1.1 200, 1-144,text,true,,132,0,9908,9908,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976366,6058,,200,HTTP/1.1 200, 1-142,text,true,,132,0,9908,9908,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976366,6058,,200,HTTP/1.1 200, 1-146,text,true,,132,0,9907,9907,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976366,6058,,200,HTTP/1.1 200, 1-140,text,true,,132,0,9905,9905,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976372,6052,,200,HTTP/1.1 200, 1-194,text,true,,132,0,9904,9904,http://172.23.239.222:9001/container/metrics,6052,0,0
1543217976365,6060,,200,HTTP/1.1 200, 1-132,text,true,,132,0,9904,9904,http://172.23.239.222:9001/container/metrics,6060,0,0
1543217976368,6058,,200,HTTP/1.1 200, 1-163,text,true,,132,0,9901,9901,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976367,6059,,200,HTTP/1.1 200, 1-157,text,true,,132,0,9901,9901,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976368,6058,,200,HTTP/1.1 200, 1-160,text,true,,132,0,9899,9899,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976368,6058,,200,HTTP/1.1 200, 1-161,text,true,,132,0,9899,9899,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976367,6059,,200,HTTP/1.1 200, 1-159,text,true,,132,0,9897,9897,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976371,6055,,200,HTTP/1.1 200, 1-181,text,true,,132,0,9896,9896,http://172.23.239.222:9001/container/metrics,6055,0,0
1543217976367,6059,,200,HTTP/1.1 200, 1-158,text,true,,132,0,9896,9896,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976369,6057,,200,HTTP/1.1 200, 1-176,text,true,,132,0,9894,9894,http://172.23.239.222:9001/container/metrics,6057,0,0
1543217976369,6057,,200,HTTP/1.1 200, 1-177,text,true,,132,0,9894,9894,http://172.23.239.222:9001/container/metrics,6057,0,0
1543217976370,6056,,200,HTTP/1.1 200, 1-179,text,true,,132,0,9894,9894,http://172.23.239.222:9001/container/metrics,6056,0,0
1543217976367,6060,,200,HTTP/1.1 200, 1-156,text,true,,132,0,9891,9891,http://172.23.239.222:9001/container/metrics,6060,0,0
1543217976368,6059,,200,HTTP/1.1 200, 1-167,text,true,,132,0,9891,9891,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976370,6057,,200,HTTP/1.1 200, 1-178,text,true,,132,0,9891,9891,http://172.23.239.222:9001/container/metrics,6057,0,0
1543217976370,6057,,200,HTTP/1.1 200, 1-180,text,true,,132,0,9888,9888,http://172.23.239.222:9001/container/metrics,6057,0,0
1543217976369,6058,,200,HTTP/1.1 200, 1-175,text,true,,132,0,9888,9888,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976368,6059,,200,HTTP/1.1 200, 1-162,text,true,,132,0,9888,9888,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976371,6056,,200,HTTP/1.1 200, 1-182,text,true,,132,0,9886,9886,http://172.23.239.222:9001/container/metrics,6056,0,0
1543217976369,6058,,200,HTTP/1.1 200, 1-173,text,true,,132,0,9886,9886,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976368,6059,,200,HTTP/1.1 200, 1-171,text,true,,132,0,9884,9884,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976369,6058,,200,HTTP/1.1 200, 1-172,text,true,,132,0,9884,9884,http://172.23.239.222:9001/container/metrics,6058,0,0
1543217976368,6059,,200,HTTP/1.1 200, 1-168,text,true,,132,0,9883,9883,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976368,6059,,200,HTTP/1.1 200, 1-170,text,true,,132,0,9882,9882,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976368,6059,,200,HTTP/1.1 200, 1-166,text,true,,132,0,9881,9881,http://172.23.239.222:9001/container/metrics,6059,0,0
1543217976363,6064,,200,HTTP/1.1 200, 1-106,text,true,,132,0,9880,9880,http://172.23.239.222:9001/container/metrics,6064,0,0
1543217976363,6064,,200,HTTP/1.1 200, 1-112,text,true,,132,0,9879,9879,http://172.23.239.222:9001/container/metrics,6064,0,0
1543217976374,6128,,200,HTTP/1.1 200, 1-204,text,true,,132,0,9876,9876,http://172.23.239.222:9001/container/metrics,6128,0,0
1543217976363,6140,,200,HTTP/1.1 200, 1-109,text,true,,132,0,9875,9875,http://172.23.239.222:9001/container/metrics,6140,0,0
1543217976364,6140,,200,HTTP/1.1 200, 1-116,text,true,,132,0,9875,9875,http://172.23.239.222:9001/container/metrics,6140,0,0
1543217976363,6141,,200,HTTP/1.1 200, 1-110,text,true,,132,0,9873,9873,http://172.23.239.222:9001/container/metrics,6141,0,0
1543217976364,6141,,200,HTTP/1.1 200, 1-118,text,true,,132,0,9872,9872,http://172.23.239.222:9001/container/metrics,6141,0,0
1543217976363,6142,,200,HTTP/1.1 200, 1-104,text,true,,132,0,9871,9871,http://172.23.239.222:9001/container/metrics,6142,0,0
1543217976363,6143,,200,HTTP/1.1 200, 1-111,text,true,,132,0,9870,9870,http://172.23.239.222:9001/container/metrics,6143,0,0
1543217976364,6141,,200,HTTP/1.1 200, 1-114,text,true,,132,0,9870,9870,http://172.23.239.222:9001/container/metrics,6141,0,0
1543217976364,6367,,200,HTTP/1.1 200, 1-113,text,true,,132,0,9868,9868,http://172.23.239.222:9001/container/metrics,6367,0,0
1543217976364,6367,,200,HTTP/1.1 200, 1-119,text,true,,132,0,9868,9868,http://172.23.239.222:9001/container/metrics,6367,0,0
1543217976363,6368,,200,HTTP/1.1 200, 1-102,text,true,,132,0,9866,9866,http://172.23.239.222:9001/container/metrics,6368,0,0
1543217976364,6367,,200,HTTP/1.1 200, 1-115,text,true,,132,0,9865,9865,http://172.23.239.222:9001/container/metrics,6367,0,0
1543217976364,6368,,200,HTTP/1.1 200, 1-117,text,true,,132,0,9864,9864,http://172.23.239.222:9001/container/metrics,6368,0,0
1543217976347,6585,,200,HTTP/1.1 200, 1-35,text,true,,132,0,9863,9863,http://172.23.239.222:9001/container/metrics,6585,0,0
1543217976343,6589,,200,HTTP/1.1 200, 1-22,text,true,,132,0,9863,9863,http://172.23.239.222:9001/container/metrics,6589,0,0
1543217976372,6573,,200,HTTP/1.1 200, 1-192,text,true,,132,0,9861,9861,http://172.23.239.222:9001/container/metrics,6573,0,0
1543217976361,6584,,200,HTTP/1.1 200, 1-94,text,true,,132,0,9861,9861,http://172.23.239.222:9001/container/metrics,6584,0,0
1543217976362,6583,,200,HTTP/1.1 200, 1-100,text,true,,132,0,9861,9861,http://172.23.239.222:9001/container/metrics,6583,0,0
1543217976362,6584,,200,HTTP/1.1 200, 1-99,text,true,,132,0,9858,9858,http://172.23.239.222:9001/container/metrics,6584,0,0
1543217976363,6583,,200,HTTP/1.1 200, 1-103,text,true,,132,0,9858,9858,http://172.23.239.222:9001/container/metrics,6583,0,0
